source,target,weight
0,442,1.0
0,2831,1.0
0,8042,1.0
0,8293,1.0
0,10458,1.0
0,11808,1.0
1,952,1.0
1,1574,1.0
1,2362,1.0
1,2381,1.0
1,3406,1.0
1,3981,1.0
1,4627,1.0
1,5026,1.0
1,7876,1.0
2,27,1.0
2,1788,1.0
2,1962,1.0
2,2595,1.0
2,2996,1.0
2,5732,1.0
2,5954,1.0
2,5996,1.0
2,7941,1.0
2,8202,1.0
2,8476,1.0
3,145,1.0
4,2492,1.0
4,2650,1.0
5,39,1.0
5,160,1.0
5,2336,1.0
5,2669,1.0
5,5036,1.0
5,5861,1.0
5,6799,1.0
6,3298,1.0
7,2392,1.0
7,7319,1.0
7,7886,1.0
7,8128,1.0
7,9409,1.0
7,10469,1.0
8,1510,1.0
8,2053,1.0
8,2827,1.0
8,4483,1.0
8,6048,1.0
9,134,1.0
9,3852,1.0
9,4240,1.0
9,4262,1.0
9,4336,1.0
9,4460,1.0
9,9605,1.0
10,4949,1.0
10,10366,1.0
11,39,1.0
11,1374,1.0
11,2553,1.0
11,2649,1.0
11,6504,1.0
11,10181,1.0
11,10682,1.0
12,128,1.0
12,2578,1.0
13,3545,1.0
14,53,1.0
14,522,1.0
14,1386,1.0
14,2437,1.0
14,2443,1.0
14,8458,1.0
15,133,1.0
15,170,1.0
15,1508,1.0
15,2834,1.0
15,4082,1.0
15,4953,1.0
15,7412,1.0
15,10395,1.0
16,2309,1.0
16,5143,1.0
17,2315,1.0
17,2357,1.0
17,2379,1.0
17,2615,1.0
17,3464,1.0
17,3871,1.0
17,6097,1.0
17,7283,1.0
17,7818,1.0
18,4693,1.0
18,5389,1.0
18,7138,1.0
18,10702,1.0
18,11010,1.0
18,11040,1.0
19,5604,1.0
19,6153,1.0
19,7682,1.0
19,7711,1.0
19,8160,1.0
19,9968,1.0
19,10325,1.0
20,1570,1.0
20,2089,1.0
20,2363,1.0
20,2715,1.0
20,4153,1.0
20,4355,1.0
20,7092,1.0
20,10648,1.0
21,92,1.0
21,8409,1.0
22,2130,1.0
22,2250,1.0
22,2352,1.0
22,2664,1.0
22,7641,1.0
22,7650,1.0
22,8121,1.0
23,36,1.0
24,8353,1.0
25,187,1.0
25,338,1.0
25,1743,1.0
25,2755,1.0
25,4021,1.0
25,4811,1.0
25,6725,1.0
25,7573,1.0
26,49,1.0
26,79,1.0
26,160,1.0
26,1474,1.0
26,6799,1.0
26,10181,1.0
27,2,1.0
27,73,1.0
27,1485,1.0
27,4617,1.0
27,7142,1.0
28,1176,1.0
28,1864,1.0
28,4428,1.0
28,6910,1.0
28,6974,1.0
29,2092,1.0
29,2556,1.0
29,2748,1.0
29,4810,1.0
29,6675,1.0
29,7006,1.0
29,7036,1.0
29,9924,1.0
29,10255,1.0
29,10383,1.0
30,3859,1.0
30,5765,1.0
30,5923,1.0
30,7464,1.0
30,9484,1.0
30,11930,1.0
31,7950,1.0
32,234,1.0
32,822,1.0
32,1573,1.0
32,3092,1.0
32,3208,1.0
32,7169,1.0
32,7476,1.0
32,10519,1.0
32,10870,1.0
33,1804,1.0
33,2011,1.0
33,7251,1.0
33,7417,1.0
33,7500,1.0
33,7599,1.0
33,8218,1.0
33,11187,1.0
33,11784,1.0
34,2372,1.0
34,2647,1.0
34,11070,1.0
35,2747,1.0
35,5074,1.0
35,5153,1.0
35,5158,1.0
35,5162,1.0
36,23,1.0
36,47,1.0
37,1839,1.0
37,2008,1.0
37,4261,1.0
37,8573,1.0
38,776,1.0
38,2336,1.0
38,2711,1.0
38,5253,1.0
38,6300,1.0
38,9981,1.0
39,5,1.0
39,11,1.0
39,46,1.0
39,160,1.0
39,2553,1.0
39,5036,1.0
39,5253,1.0
40,2714,1.0
40,4951,1.0
40,4964,1.0
40,5012,1.0
41,1844,1.0
41,2877,1.0
41,3127,1.0
41,4722,1.0
41,5447,1.0
41,7097,1.0
41,7788,1.0
41,8819,1.0
42,3517,1.0
42,4606,1.0
42,5093,1.0
42,5491,1.0
42,8335,1.0
42,8807,1.0
42,9597,1.0
42,10930,1.0
43,2333,1.0
43,7456,1.0
43,7594,1.0
43,8064,1.0
43,8385,1.0
43,9483,1.0
43,11021,1.0
44,1313,1.0
44,1366,1.0
44,1375,1.0
44,1715,1.0
44,1785,1.0
44,2553,1.0
44,4221,1.0
44,6177,1.0
44,6799,1.0
45,2252,1.0
45,3357,1.0
45,5307,1.0
45,5476,1.0
46,39,1.0
46,10120,1.0
47,36,1.0
47,129,1.0
47,2400,1.0
47,3881,1.0
47,3896,1.0
47,3929,1.0
47,4019,1.0
47,4229,1.0
47,6994,1.0
47,10309,1.0
47,10477,1.0
48,2248,1.0
48,2673,1.0
48,4917,1.0
48,8201,1.0
49,26,1.0
49,160,1.0
49,553,1.0
49,1308,1.0
49,1329,1.0
49,2985,1.0
49,3752,1.0
49,9206,1.0
49,10907,1.0
50,2202,1.0
50,5519,1.0
50,6758,1.0
51,263,1.0
51,834,1.0
51,3054,1.0
51,3104,1.0
51,4022,1.0
51,5235,1.0
51,11768,1.0
52,4668,1.0
52,10668,1.0
53,14,1.0
53,72,1.0
53,369,1.0
53,1873,1.0
53,2049,1.0
53,2404,1.0
53,2437,1.0
53,2443,1.0
53,2651,1.0
53,8427,1.0
54,4406,1.0
54,4421,1.0
54,5081,1.0
55,1910,1.0
55,4409,1.0
56,2389,1.0
56,10908,1.0
57,1996,1.0
57,2708,1.0
57,4986,1.0
57,10183,1.0
57,10540,1.0
58,4551,1.0
58,4645,1.0
58,4679,1.0
58,5589,1.0
58,9593,1.0
59,2862,1.0
60,538,1.0
60,614,1.0
60,669,1.0
60,1771,1.0
60,3787,1.0
60,4063,1.0
61,914,1.0
61,2122,1.0
61,2567,1.0
61,4050,1.0
61,4221,1.0
61,5192,1.0
61,7489,1.0
61,7643,1.0
61,8391,1.0
62,1883,1.0
62,2609,1.0
62,10522,1.0
63,2350,1.0
63,2599,1.0
63,7858,1.0
63,8311,1.0
63,8993,1.0
64,3818,1.0
64,3903,1.0
64,5189,1.0
64,5382,1.0
64,5482,1.0
64,10280,1.0
65,9949,1.0
65,10079,1.0
65,10152,1.0
65,10925,1.0
66,765,1.0
66,2581,1.0
66,6337,1.0
66,6757,1.0
66,6904,1.0
66,7065,1.0
66,10818,1.0
66,10865,1.0
67,4766,1.0
67,6174,1.0
68,1493,1.0
68,1810,1.0
68,3955,1.0
68,5899,1.0
68,6795,1.0
68,8021,1.0
68,8116,1.0
68,9769,1.0
69,2288,1.0
69,2632,1.0
69,4596,1.0
69,5443,1.0
70,5689,1.0
70,5775,1.0
70,5934,1.0
70,7455,1.0
70,7741,1.0
70,12052,1.0
71,1302,1.0
71,1519,1.0
71,3946,1.0
71,4352,1.0
71,6897,1.0
71,7145,1.0
71,7319,1.0
71,7575,1.0
71,7595,1.0
71,7610,1.0
71,9982,1.0
72,53,1.0
72,1388,1.0
72,11832,1.0
73,27,1.0
73,1962,1.0
73,3041,1.0
73,5728,1.0
73,5732,1.0
73,5954,1.0
73,6107,1.0
73,9671,1.0
73,12058,1.0
74,1327,1.0
74,11935,1.0
75,305,1.0
75,2555,1.0
75,3430,1.0
75,6136,1.0
75,6284,1.0
75,7198,1.0
75,7564,1.0
75,11763,1.0
76,1485,1.0
76,1640,1.0
76,3385,1.0
76,9670,1.0
76,11767,1.0
77,1487,1.0
77,5910,1.0
77,8211,1.0
77,9357,1.0
77,9665,1.0
77,10416,1.0
77,10577,1.0
77,10924,1.0
77,11811,1.0
78,779,1.0
78,1475,1.0
78,2887,1.0
78,6360,1.0
79,26,1.0
79,2707,1.0
79,2830,1.0
79,3193,1.0
79,4639,1.0
79,5700,1.0
79,6799,1.0
79,7198,1.0
79,7828,1.0
79,8835,1.0
79,10181,1.0
79,10403,1.0
79,10682,1.0
79,11763,1.0
80,1009,1.0
80,1301,1.0
80,2320,1.0
80,4023,1.0
80,4100,1.0
80,4115,1.0
80,4406,1.0
80,4416,1.0
80,4596,1.0
80,6294,1.0
81,553,1.0
81,2585,1.0
81,2624,1.0
81,2669,1.0
81,2699,1.0
81,4614,1.0
81,6519,1.0
82,4710,1.0
83,96,1.0
83,1388,1.0
83,2806,1.0
83,4733,1.0
83,4902,1.0
83,10181,1.0
83,11765,1.0
84,4014,1.0
84,5434,1.0
84,5949,1.0
85,2325,1.0
85,6039,1.0
85,7204,1.0
85,7876,1.0
