Wealth.index,Type.of.place.of.residence,Frequency.eats.fish,Frequency.eats.chicken.or.meat,Has.refrigerator,id
3,1,2,1,1,0
3,0,2,2,1,1
4,0,3,1,1,2
4,1,2,1,1,3
3,1,1,1,1,4
4,0,3,1,1,5
4,0,2,0,0,6
4,0,2,2,1,7
3,0,3,2,1,8
4,0,2,2,1,9
4,0,2,3,1,10
4,0,2,0,1,11
4,0,2,1,1,12
3,1,2,1,1,13
3,1,2,2,1,14
4,0,3,1,1,15
4,1,1,2,1,16
4,1,3,1,1,17
3,1,3,2,0,18
4,1,1,1,1,19
2,1,2,2,0,20
4,1,3,2,1,21
3,1,2,1,1,22
4,1,2,1,1,23
3,1,2,2,0,24
2,1,3,1,1,25
4,0,2,2,1,26
4,0,2,1,1,27
2,1,1,1,0,28
2,1,3,2,0,29
4,1,2,2,1,30
3,0,3,2,0,31
2,0,2,1,0,32
4,0,2,1,1,33
3,0,2,1,1,34
3,0,3,2,1,35
2,0,3,2,1,36
4,0,1,1,1,37
4,0,1,1,1,38
4,0,2,1,1,39
3,0,3,2,1,40
2,1,2,2,0,41
2,0,2,2,0,42
3,0,2,2,1,43
4,0,2,1,1,44
4,0,3,2,1,45
4,0,1,1,1,46
3,0,3,1,1,47
4,0,3,1,1,48
4,0,2,1,1,49
4,0,3,0,1,50
3,0,0,0,1,51
4,1,3,2,1,52
4,1,3,2,1,53
4,1,2,2,1,54
4,0,2,1,1,55
4,0,3,2,1,56
2,0,2,2,0,57
4,1,1,1,1,58
4,1,2,1,1,59
4,0,0,0,1,60
4,0,2,2,1,61
4,0,2,1,1,62
3,1,3,2,1,63
4,0,3,2,1,64
4,1,2,2,1,65
4,1,1,1,1,66
4,1,2,1,1,67
4,0,1,1,0,68
4,1,2,1,1,69
3,0,3,2,1,70
4,1,2,1,1,71
4,1,3,2,1,72
4,0,1,2,1,73
2,0,1,0,0,74
4,0,3,1,1,75
4,0,1,1,1,76
4,0,2,1,1,77
4,0,0,0,1,78
4,0,2,1,1,79
4,1,2,2,1,80
4,1,2,1,1,81
3,1,2,1,1,82
4,1,3,2,1,83
3,1,2,2,1,84
4,1,2,1,1,85
2,1,3,1,0,86
2,1,2,1,0,87
4,1,3,0,1,88
3,1,2,2,1,89
4,0,2,1,1,90
3,1,2,1,1,91
3,1,3,2,1,92
3,1,2,2,1,93
3,1,2,1,1,94
3,1,3,2,1,95
3,1,2,1,1,96
2,1,3,1,0,97
4,1,2,2,1,98
4,1,2,1,1,99
3,1,3,0,1,100
3,1,3,2,0,101
2,1,3,2,0,102
4,1,2,2,1,103
2,1,2,1,1,104
4,1,3,1,1,105
0,0,2,2,0,106
3,0,2,2,0,107
3,0,2,2,1,108
3,0,2,2,1,109
3,0,1,1,1,110
4,1,3,2,1,111
3,1,2,2,1,112
2,1,2,2,1,113
3,1,2,1,1,114
3,1,2,2,1,115
1,1,3,2,0,116
4,1,3,2,1,117
3,1,3,2,1,118
3,1,2,1,1,119
2,1,2,2,0,120
2,1,2,2,0,121
2,1,3,1,1,122
3,0,1,1,0,123
4,0,3,2,1,124
1,1,2,1,0,125
4,0,2,2,1,126
3,0,2,2,1,127
4,0,2,2,1,128
4,0,2,2,1,129
2,0,2,2,1,130
